Dsu1,Dsu2,Dsu3,Dsu4,Dsu5,msu1,msu2,msu3,msu4,msu5,mu1d,mu2d,mu3d,mu4d,mu5d,output
0.29967,0.51043,0.50248,0.624,0.44828,1,3,3,3,3,2,3,3,1,2,3
0.11994,0.59218,0.0048629,0.87739,0.34508,2,3,2,3,1,2,3,2,3,3,2
0.90815,0.97858,0.8236,0.65289,0.54421,1,3,3,1,3,3,1,1,2,2,5
0.66691,0.97546,0.53604,0.69907,0.66329,3,2,2,3,2,3,2,1,1,3,1
0.71262,0.33222,0.802,0.6201,0.42267,2,2,3,3,1,1,1,2,2,1,4
0.82462,0.28241,0.35813,0.99386,0.52822,3,3,3,3,1,2,1,1,2,2,1
0.92706,0.36833,0.69444,0.0053884,0.40021,1,3,3,3,3,1,3,2,1,1,3
0.41081,0.1471,0.010755,0.53434,0.6159,2,2,2,3,2,3,1,2,3,3,4
0.50855,0.8749,0.88966,0.36562,0.74788,1,2,1,2,1,2,3,3,2,2,4
0.25133,0.25728,0.89322,0.11892,0.79913,1,3,1,1,1,2,3,1,3,2,2
0.36136,0.25912,0.3577,0.29341,0.0020865,1,3,3,2,2,3,1,2,2,1,1
0.46222,0.47684,0.4659,0.38494,0.65378,3,1,1,3,3,1,1,3,2,1,5
0.96495,0.50762,0.28092,0.64343,0.29303,2,3,2,2,2,3,3,1,3,1,2
0.75663,0.96266,0.17503,0.94611,0.44873,3,2,3,2,2,2,2,2,3,2,1
0.78379,0.34057,0.072834,0.91616,0.90117,1,3,3,1,2,1,2,3,2,3,2
0.27477,0.10489,0.11412,0.5713,0.52735,1,1,1,1,2,2,1,1,1,2,5
0.2094,0.20222,0.79335,0.45013,0.2731,3,2,1,1,2,1,3,3,3,1,4
0.94987,0.94988,0.82633,0.26645,0.4082,2,1,3,3,1,2,2,3,3,3,3
0.56328,0.56371,0.10744,0.88483,0.81038,3,2,2,1,1,3,1,2,1,1,1
0.66729,0.50486,0.83021,0.32297,0.7318,2,3,2,2,2,1,1,1,3,1,4
0.89582,0.98775,0.75209,0.36139,0.026582,2,2,3,2,3,3,1,1,1,1,3
